,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1524,24000.0,24000.0,36,F,อื่นๆ,15000.0,MC,HONDA,CLICK 125I,2017,BD,32000,S2,2022-11-24,S1,NPL,30,6
1525,17800.0,17800.0,24,M,พนักงานบริษัท,12000.0,MC,GPX,DEMON 150,2017,AB,25500,S2,2022-11-29,S1,NPL,25,6
1526,33000.0,33000.0,36,M,พนักงานบริษัท,18000.0,MC,HONDA,DREAM 110,2014,CA,42000,S2,2022-11-24,S1,NPL,44,9
1527,31500.0,31500.0,36,F,พนักงานบริษัท,17000.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S2,2022-11-27,S1,NPL,37,5
1528,30000.0,29711.0,24,M,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S3,2023-01-13,S2,NPL,38,10
1529,68400.0,67484.99,24,M,ข้าราชการ,32680.0,CAR,FORD,EVEREST,2005,BF,228000,S1,2023-01-08,S2,NPL,44,18
1530,51000.0,50715.88,36,F,อื่นๆ,10000.0,MC,HONDA,PCX 150I,2018,BV,64500,S3,2022-12-29,S2,NPL,28,5
1531,37000.0,36011.72,36,M,พนักงานบริษัท,20500.0,MC,HONDA,CLICK 160,2022,CP,57100,S3,2022-12-29,S2,NPL,26,1
1532,35000.0,35000.0,36,F,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2020,CX,46500,S3,2022-12-06,S2,NPL,42,3
1533,190000.0,190000.0,60,M,อื่นๆ,30000.0,CAR,TOYOTA,CAMRY,2009,EO,323500,S3,2022-11-28,S2,NPL,35,14
1534,15000.0,15000.0,18,F,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2012,BO,23000,S3,2022-12-09,S2,NPL,39,11
1536,150000.0,150000.0,60,M,STREET VENDOR,25000.0,PU,TOYOTA,HILUX VIGO,2010,CR,271000,S3,2022-12-06,S2,NPL,28,13
